Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Paul Zipser,1312611.00,Germany,48.00,23.00,CHI,54.00,824.00,5.20,0.44,0.47,0.11,1.60,15.90,8.50,8.00,1.20,1.60,14.90,15.20,-1.20,0.60,-0.60,-0.03,-5.50,-0.30,-5.80,-0.80
Paul Millsap,31269231.00,USA,47.00,32.00,DEN,34.00,1008.00,18.20,0.56,0.26,0.36,6.30,18.30,12.30,14.60,1.90,3.30,12.90,22.40,1.50,1.00,2.50,0.12,0.60,0.80,1.40,0.90
Paul George,19508958.00,USA,10.00,27.00,OKC,76.00,2779.00,18.40,0.57,0.45,0.30,2.70,15.00,8.70,14.70,2.80,1.20,12.30,25.60,4.50,3.80,8.30,0.14,2.30,0.10,2.40,3.10
Pau Gasol,16000000.00,Spain,3.00,37.00,SAS,74.00,1753.00,19.00,0.54,0.19,0.33,7.90,30.30,19.00,20.00,0.60,3.70,13.30,20.70,2.60,3.20,5.80,0.16,-0.20,3.30,3.10,2.30
Patty Mills,10714286.00,Australia,55.00,29.00,SAS,79.00,2018.00,12.10,0.56,0.61,0.18,1.40,7.00,4.10,16.10,1.30,0.50,12.40,17.80,2.10,2.10,4.20,0.10,1.00,-1.30,-0.20,0.90
Patrick Patterson,5192000.00,USA,14.00,28.00,OKC,79.00,1234.00,9.70,0.55,0.64,0.17,2.70,14.50,8.40,5.80,1.90,1.70,10.30,10.80,1.00,1.40,2.40,0.09,-1.80,0.30,-1.50,0.20
Patrick McCaw,1312611.00,USA,38.00,22.00,GSW,57.00,961.00,7.40,0.48,0.36,0.15,2.00,7.10,4.80,10.60,2.20,0.80,14.60,12.80,-0.30,0.90,0.60,0.03,-2.90,-0.40,-3.30,-0.30
Patrick Beverley,5513514.00,USA,42.00,29.00,LAC,11.00,334.00,12.30,0.53,0.50,0.14,5.40,9.40,7.40,13.80,2.60,1.20,16.50,19.60,0.10,0.30,0.40,0.06,0.40,0.30,0.70,0.20
Pat Connaughton,1471382.00,USA,41.00,25.00,POR,78.00,1432.00,9.30,0.54,0.54,0.11,2.60,9.00,5.80,8.90,0.70,1.20,9.30,13.50,1.10,1.20,2.30,0.08,-0.90,-0.60,-1.50,0.20
Pascal Siakam,1312611.00,Cameroon,27.00,23.00,TOR,77.00,1577.00,14.90,0.55,0.27,0.18,5.50,18.80,12.20,13.30,1.90,2.00,11.00,15.90,2.10,2.30,4.50,0.14,0.10,2.10,2.20,1.70
P.J. Tucker,7590035.00,USA,35.00,32.00,HOU,78.00,2170.00,8.40,0.54,0.69,0.15,4.60,17.40,11.00,4.60,1.80,0.90,13.30,10.30,1.00,2.80,3.80,0.08,-1.30,1.50,0.20,1.20
Otto Porter,24773250.00,USA,3.00,24.00,WAS,74.00,2349.00,18.40,0.60,0.36,0.15,4.70,18.00,11.40,10.00,2.40,1.40,7.10,18.40,4.90,3.00,7.90,0.16,2.50,1.10,3.60,3.30
Omri Casspi,2106470.00,Israel,23.00,29.00,GSW,53.00,740.00,15.50,0.63,0.11,0.33,4.90,23.90,15.10,9.50,1.20,2.00,13.50,16.30,1.20,1.00,2.20,0.14,-1.40,0.20,-1.30,0.10
Omer Asik,10595505.00,Turkey,36.00,31.00,NOP,14.00,121.00,4.50,0.42,0.00,0.75,6.50,26.10,16.60,2.00,0.40,1.30,19.00,9.40,-0.10,0.10,0.00,0.01,-7.40,-0.80,-8.20,-0.20
Okaro White,1312611.00,USA,62.00,25.00,MIA,6.00,80.00,8.90,0.58,0.69,0.19,4.20,11.20,7.70,3.50,0.60,1.10,5.50,10.30,0.10,0.10,0.20,0.10,-1.50,-1.30,-2.80,0.00
OG Anunoby,1645200.00,United Kingdo...,23.00,20.00,TOR,70.00,1389.00,9.50,0.58,0.57,0.18,3.30,9.90,6.60,5.20,1.80,0.60,10.80,12.30,1.10,1.50,2.60,0.09,0.00,0.30,0.30,0.80
Norman Powell,1471382.00,USA,46.00,24.00,TOR,66.00,1003.00,8.40,0.50,0.49,0.11,1.50,10.80,6.20,11.50,1.60,1.20,14.50,18.90,-0.60,1.10,0.50,0.03,-2.50,-0.50,-3.00,-0.30
Noah Vonleh,3505233.00,USA,9.00,22.00,TOT,54.00,875.00,12.80,0.51,0.28,0.25,8.60,30.10,19.20,5.70,1.10,1.60,10.70,14.50,0.50,1.20,1.70,0.09,-3.40,0.30,-3.10,-0.20
Nikola Vucevic,12250000.00,Montenegro,16.00,27.00,ORL,54.00,1619.00,19.70,0.54,0.25,0.12,6.60,27.60,17.00,19.30,1.60,2.90,11.10,25.90,1.30,2.20,3.50,0.10,0.60,2.00,2.60,1.90
Nikola Mirotic,12500000.00,Montenegro,23.00,26.00,TOT,51.00,1352.00,17.80,0.57,0.53,0.21,4.10,24.00,14.10,8.70,1.40,2.20,8.00,23.20,1.60,1.50,3.20,0.11,0.90,-0.80,0.10,0.70
Nikola Jokic,1471382.00,Serbia,41.00,22.00,DEN,71.00,2288.00,24.40,0.61,0.28,0.32,9.20,27.70,18.40,29.20,1.80,2.10,15.80,24.10,7.30,2.60,9.90,0.21,4.80,2.10,6.90,5.10
Nik Stauskas,3807146.00,Canada,8.00,24.00,TOT,37.00,459.00,9.10,0.55,0.67,0.17,0.70,12.60,6.60,10.10,0.80,0.50,13.40,15.50,0.10,0.20,0.30,0.04,-2.00,-1.80,-3.90,-0.20
Nigel Hayes,92160.00,USA,62.00,23.00,TOT,6.00,60.00,2.40,0.36,0.61,0.17,1.80,8.00,4.70,11.00,0.00,1.60,9.40,15.70,-0.20,0.00,-0.20,-0.13,-6.00,-4.10,-10.00,-0.10
Nicolas Brussino,1312611.00,Argentina,62.00,24.00,ATL,4.00,10.00,-4.60,0.00,1.00,0.00,0.00,33.50,16.80,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,-0.18,-13.80,-4.80,-18.60,0.00
Nicolas Batum,22434783.00,France,25.00,29.00,CHO,61.00,1918.00,14.30,0.52,0.42,0.20,3.00,13.80,8.30,26.00,1.60,1.00,15.00,18.20,1.60,1.70,3.30,0.08,0.80,0.40,1.20,1.60
Nick Young,5192000.00,USA,16.00,32.00,GSW,76.00,1307.00,10.10,0.56,0.67,0.12,1.80,7.50,4.80,3.50,1.30,0.40,7.30,18.00,0.70,0.90,1.60,0.06,-0.20,-3.40,-3.70,-0.50
Nick Collison,2328652.00,USA,12.00,37.00,OKC,13.00,72.00,13.80,0.67,0.00,0.42,8.90,20.70,14.60,8.60,0.00,0.00,23.70,17.60,0.10,0.00,0.10,0.08,-3.20,-2.80,-6.00,-0.10
Nerlens Noel,4187599.00,USA,6.00,23.00,DAL,30.00,472.00,16.20,0.56,0.01,0.27,11.00,29.10,19.80,6.30,3.30,4.10,18.10,13.80,0.40,1.00,1.30,0.14,-3.40,4.60,1.20,0.40
